Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
0.0000,0,0.0000,0.0000
0.0100,0,0.0000,-0.0000
0.0200,1,0.0000,-0.0000
0.0300,1,0.0000,0.0000
0.0400,2,0.0000,0.0000
0.0500,3,0.0000,0.0000
0.0600,3,0.0000,-0.0000
0.0700,4,0.0000,-0.0000
0.0800,5,0.0000,-0.0000
0.0900,5,0.0000,0.0001
0.1000,6,0.0000,0.0004
0.1100,6,0.0000,0.0002
0.1200,7,0.0000,-0.0017
0.1300,8,0.0000,-0.0044
0.1400,8,0.0000,0.0003
0.1500,9,0.0000,0.0232
0.1600,10,0.0000,0.0423
0.1700,10,0.0000,-0.0387
0.1800,11,0.0000,-0.2893
0.1900,11,0.0000,-0.3481
0.2000,12,0.0000,0.8206
0.2100,13,0.0000,3.3265
0.2200,13,12.8200,4.8804
0.2300,14,0.0000,4.4291
0.2400,15,0.0000,4.1610
0.2500,15,12.8200,4.4710
0.2600,16,0.0000,4.2063
0.2700,16,0.0000,4.3893
0.2800,17,12.8200,4.5643
0.2900,18,0.0000,2.9539
0.3000,18,0.0000,1.7410
0.3100,19,0.0000,3.2913
0.3200,19,12.8200,4.6703
0.3300,20,0.0000,2.9409
0.3400,21,0.0000,1.0638
0.3500,21,0.0000,3.1778
0.3600,22,12.8200,8.3420
0.3700,23,12.8200,13.1865
0.3800,23,12.8200,16.5435
0.3900,24,25.6400,18.5607
0.4000,24,12.8200,19.9136
0.4100,25,25.6400,21.9755
0.4200,26,25.6400,25.2942
0.4300,26,25.6400,29.8282
0.4400,27,38.4600,34.6232
0.4500,27,38.4600,37.6351
0.4600,28,38.4600,39.3379
0.4700,29,38.4600,42.5700
0.4800,29,51.2800,47.2365
0.4900,30,51.2800,50.3803
0.5000,30,51.2800,51.8287
0.5100,31,51.2800,54.7079
0.5200,32,64.1000,60.5302
0.5300,32,64.1000,67.6938
0.5400,33,76.9200,73.5303
0.5500,33,76.9200,76.3295
0.5600,34,76.9200,77.5265
0.5700,35,76.9200,80.6147
0.5800,35,89.7400,86.4693
0.5900,36,89.7400,92.2292
0.6000,36,102.5600,95.4273
0.6100,37,89.7400,97.7649
0.6200,37,102.5600,102.1696
0.6300,38,115.3800,107.9222
0.6400,39,102.5600,113.3146
0.6500,39,128.2100,118.1287
0.6600,40,115.3800,121.9833
0.6700,40,128.2100,124.9828
0.6800,41,128.2100,128.0678
0.6900,42,128.2100,132.0987
0.7000,42,141.0300,136.7802
0.7100,43,141.0300,141.0928
0.7200,43,141.0300,145.5093
0.7300,44,153.8500,150.1022
0.7400,44,153.8500,152.9872
0.7500,45,153.8500,154.3562
0.7600,45,153.8500,157.2587
0.7700,46,166.6700,163.0998
0.7800,47,166.6700,170.2448
0.7900,47,179.4900,176.0593
0.8000,48,179.4900,178.9393
0.8100,48,179.4900,180.3896
0.8200,49,179.4900,183.5342
0.8300,49,192.3100,188.2000
0.8400,50,192.3100,191.4299
0.8500,50,192.3100,193.1319
0.8600,51,192.3100,196.1523
0.8700,51,205.1300,200.9672
0.8800,52,205.1300,205.4961
0.8900,53,205.1300,208.7026
0.9000,53,217.9500,210.5794
0.9100,54,205.1300,212.1558
0.9200,54,217.9500,215.5402
0.9300,55,217.9500,220.3358
0.9400,55,230.7700,223.7065
0.9500,56,217.9500,225.3627
0.9600,56,230.7700,227.4887
0.9700,57,230.7700,230.7473
0.9800,57,230.7700,234.0928
0.9900,58,243.5900,236.4070
1.0000,58,230.7700,237.9588
1.0100,59,243.5900,240.2478
1.0200,59,243.5900,243.5665
1.0300,60,243.5900,246.8909
1.0400,60,256.4100,249.2688
1.0500,61,243.5900,251.0636
1.0600,61,256.4100,253.4112
1.0700,62,256.4100,255.5690
1.0800,62,256.4100,256.4064
1.0900,63,256.4100,257.2330
1.1000,63,256.4100,259.3901
1.1100,64,269.2300,261.8236
1.1200,64,256.4100,263.7815
1.1300,65,269.2300,266.0214
1.1400,65,269.2300,268.2506
1.1500,66,269.2300,270.2077
1.1600,66,269.2300,272.7270
1.1700,67,282.0500,275.0474
1.1800,67,269.2300,275.7362
1.1900,67,282.0500,275.4780
1.2000,68,269.2300,276.2726
1.2100,68,282.0500,278.8494
1.2200,69,282.0500,281.4187
1.2300,69,282.0500,282.1883
1.2400,70,282.0500,281.9111
1.2500,70,282.0500,282.6830
1.2600,71,282.0500,285.2549
1.2700,71,294.8700,287.8267
1.2800,72,282.0500,288.5986
1.2900,72,294.8700,288.3232
1.3000,72,282.0500,289.0957
1.3100,73,294.8700,291.6614
1.3200,73,294.8700,294.2167
1.3300,74,294.8700,294.9885
1.3400,74,294.8700,294.7971
1.3500,75,294.8700,295.7288
1.3600,75,294.8700,298.1662
1.3700,75,307.6900,299.6665
1.3800,76,294.8700,299.1024
1.3900,76,294.8700,298.9842
1.4000,77,307.6900,300.2560
1.4100,77,294.8700,301.0625
1.4200,77,307.6900,301.1360
1.4300,78,294.8700,302.2451
1.4400,78,307.6900,304.8552
1.4500,79,307.6900,306.2435
1.4600,79,307.6900,304.5265
1.4700,79,294.8700,302.6905
1.4800,80,307.6900,303.7845
1.4900,80,307.6900,306.4190
1.5000,80,307.6900,308.9611
1.5100,81,307.6900,311.5769
1.5200,81,320.5100,312.6656
1.5300,81,307.6900,310.9109
1.5400,82,307.6900,309.3675
