Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
0.0050,78,153.8500,153.5550
0.0100,78,179.4900,162.3980
0.0150,78,179.4900,170.9839
0.0200,78,179.4900,179.1717
0.0250,78,179.4900,186.8919
0.0300,78,205.1300,194.0965
0.0350,78,205.1300,200.7463
0.0400,78,205.1300,206.8353
0.0450,78,205.1300,212.3885
0.0500,78,230.7700,217.4322
0.0550,78,230.7700,222.0031
0.0600,78,205.1300,226.1777
0.0650,78,230.7700,230.0420
0.0700,78,230.7700,233.6332
0.0750,78,256.4100,236.9486
0.0800,78,230.7700,240.0066
0.0850,78,230.7700,242.8614
0.0900,78,256.4100,245.5559
0.0950,78,256.4100,248.1091
0.1000,78,230.7700,250.5528
0.1050,78,256.4100,252.9226
0.1100,78,256.4100,255.2164
0.1150,78,256.4100,257.4033
0.1200,78,256.4100,259.4486
0.1250,78,282.0500,261.3247
0.1300,78,256.4100,263.0386
0.1350,78,256.4100,264.6454
0.1400,78,256.4100,266.1985
0.1450,78,282.0500,267.7012
0.1500,78,256.4100,269.1228
0.1550,78,282.0500,270.4324
0.1600,78,282.0500,271.6169
0.1650,78,256.4100,272.6998
0.1700,78,282.0500,273.7299
0.1750,78,256.4100,274.7373
0.1800,78,282.0500,275.7067
0.1850,78,282.0500,276.5842
0.1900,78,282.0500,277.3151
0.1950,78,282.0500,277.8848
0.2000,78,282.0500,278.3270
0.2050,78,282.0500,278.7178
0.2100,78,256.4100,279.1551
0.2150,78,282.0500,279.7054
0.2200,78,282.0500,280.3673
0.2250,78,282.0500,281.0976
0.2300,78,282.0500,281.8538
0.2350,78,282.0500,282.6027
0.2400,78,282.0500,283.3133
0.2450,78,282.0500,283.9490
0.2500,78,282.0500,284.4611
0.2550,78,307.6900,284.7983
0.2600,78,282.0500,284.9506
0.2650,78,282.0500,284.9779
0.2700,78,282.0500,284.9763
0.2750,78,282.0500,285.0282
0.2800,78,282.0500,285.1869
0.2850,78,282.0500,285.4747
0.2900,78,282.0500,285.8820
0.2950,78,282.0500,286.3639
0.3000,78,307.6900,286.8529
0.3050,78,282.0500,287.3024
0.3100,78,282.0500,287.7145
0.3150,78,282.0500,288.1032
0.3200,78,307.6900,288.4577
0.3250,78,282.0500,288.7711
0.3300,78,282.0500,289.0689
0.3350,78,282.0500,289.3736
0.3400,78,307.6900,289.6693
0.3450,78,282.0500,289.9309
0.3500,78,282.0500,290.1535
0.3550,78,307.6900,290.3340
0.3600,78,282.0500,290.4681
0.3650,78,282.0500,290.5656
0.3700,78,307.6900,290.6322
0.3750,78,282.0500,290.6687
0.3800,78,282.0500,290.6865
0.3850,78,307.6900,290.6909
0.3900,78,282.0500,290.6810
0.3950,78,282.0500,290.6658
0.4000,78,307.6900,290.6483
0.4050,78,282.0500,290.6250
0.4100,78,282.0500,290.6032
0.4150,78,307.6900,290.5840
0.4200,78,282.0500,290.5634
0.4250,78,282.0500,290.5481
0.4300,78,307.6900,290.5400
0.4350,78,282.0500,290.5357
0.4400,78,282.0500,290.5434
0.4450,78,307.6900,290.5663
0.4500,78,282.0500,290.6028
0.4550,78,282.0500,290.6622
0.4600,78,307.6900,290.7484
0.4650,78,282.0500,290.8589
0.4700,78,282.0500,291.0004
0.4750,78,307.6900,291.1715
0.4800,78,282.0500,291.3612
0.4850,78,282.0500,291.5633
0.4900,78,307.6900,291.7585
0.4950,78,282.0500,291.9125
0.5000,78,307.6900,292.0062
0.5050,78,282.0500,292.0508
0.5100,78,282.0500,292.0703
0.5150,78,307.6900,292.0689
0.5200,78,282.0500,292.0305
0.5250,78,307.6900,291.9516
0.5300,78,282.0500,291.8571
0.5350,78,282.0500,291.7855
0.5400,78,307.6900,291.7569
0.5450,78,282.0500,291.7742
0.5500,78,282.0500,291.8386
0.5550,78,307.6900,291.9344
0.5600,78,282.0500,292.0276
0.5650,78,307.6900,292.0975
0.5700,78,282.0500,292.1524
0.5750,78,282.0500,292.2122
0.5800,78,307.6900,292.2759
0.5850,78,282.0500,292.3209
0.5900,78,307.6900,292.3346
0.5950,78,282.0500,292.3300
0.6000,78,282.0500,292.3299
0.6050,78,307.6900,292.3341
0.6100,78,282.0500,292.3196
0.6150,78,307.6900,292.2730
0.6200,78,282.0500,292.2063
0.6250,78,282.0500,292.1422
0.6300,78,307.6900,292.0815
0.6350,78,282.0500,292.0039
0.6400,78,307.6900,291.9014
0.6450,78,282.0500,291.7949
0.6500,78,282.0500,291.7190
0.6550,78,307.6900,291.6908
0.6600,78,282.0500,291.7104
0.6650,78,282.0500,291.7774
0.6700,78,307.6900,291.8747
0.6750,78,282.0500,291.9676
0.6800,78,307.6900,292.0356
0.6850,78,282.0500,292.0875
0.6900,78,282.0500,292.1446
0.6950,78,307.6900,292.2076
0.7000,78,282.0500,292.2565
0.7050,78,307.6900,292.2819
0.7100,78,282.0500,292.3008
0.7150,78,282.0500,292.3401
0.7200,78,307.6900,292.4042
0.7250,78,282.0500,292.4745
0.7300,78,307.6900,292.5408
0.7350,78,282.0500,292.6173
0.7400,78,282.0500,292.7253
0.7450,78,307.6900,292.8603
0.7500,78,282.0500,292.9908
0.7550,78,307.6900,293.0895
0.7600,78,282.0500,293.1482
0.7650,78,307.6900,293.1767
0.7700,78,282.0500,293.2024
0.7750,78,282.0500,293.2535
0.7800,78,307.6900,293.3265
0.7850,78,282.0500,293.3858
0.7900,78,307.6900,293.3952
0.7950,78,282.0500,293.3336
0.8000,78,307.6900,293.1953
0.8050,78,282.0500,292.9902
0.8100,78,307.6900,292.7456
0.8150,78,282.0500,292.5078
0.8200,78,282.0500,292.3283
0.8250,78,307.6900,292.2338
0.8300,78,282.0500,292.2277
0.8350,78,282.0500,292.3073
0.8400,78,307.6900,292.4475
0.8450,78,282.0500,292.6006
0.8500,78,307.6900,292.7268
0.8550,78,282.0500,292.8095
0.8600,78,307.6900,292.8536
0.8650,78,282.0500,292.8854
0.8700,78,282.0500,292.9349
0.8750,78,307.6900,293.0039
0.8800,78,282.0500,293.0652
0.8850,78,307.6900,293.0941
0.8900,78,282.0500,293.0845
0.8950,78,307.6900,293.0482
0.9000,78,282.0500,293.0150
0.9050,78,282.0500,293.0172
0.9100,78,307.6900,293.0569
0.9150,78,282.0500,293.1064
0.9200,78,307.6900,293.1401
0.9250,78,282.0500,293.1502
0.9300,78,307.6900,293.1464
0.9350,78,282.0500,293.1558
0.9400,78,282.0500,293.2068
0.9450,78,307.6900,293.2961
0.9500,78,282.0500,293.3889
0.9550,78,307.6900,293.4500
0.9600,78,282.0500,293.4593
0.9650,78,307.6900,293.4110
0.9700,78,282.0500,293.3141
